City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Vaini,TO,-21.2,-175.2,75.36,88,75,12.66,broken clouds
80,Sibay,RU,52.7181,58.6658,59.58,78,1,4.65,clear sky
81,Kodiak,US,57.79,-152.4072,53.11,76,75,8.05,broken clouds
82,Nikolskoye,RU,59.7035,30.7861,66.09,83,9,5.41,clear sky
83,Kushima,JP,31.4583,131.2333,86.14,52,88,0.94,overcast clouds
84,Half Moon Bay,US,37.4636,-122.4286,80.55,73,0,18.41,haze
85,Cidreira,BR,-30.1811,-50.2056,63.12,94,99,2.08,light rain
86,Lompoc,US,34.6391,-120.4579,70.84,79,75,28.01,broken clouds
87,Sonoita,MX,31.85,-112.8333,99.27,25,40,11.92,scattered clouds
88,Tecoanapa,MX,16.5167,-98.75,81.25,80,26,5.3,scattered clouds
89,Norman Wells,CA,65.282,-126.8329,80.64,36,75,9.22,broken clouds
90,Rafsanjan,IR,30.4067,55.9939,83.84,27,0,3.0,clear sky
91,Connersville,US,39.6412,-85.1411,78.62,77,7,2.73,clear sky
92,Novobirilyussy,RU,56.9514,90.6661,56.66,96,100,8.57,overcast clouds
93,Quatre Cocos,MU,-20.2078,57.7625,68.11,75,6,15.66,light rain
94,Eureka,US,40.8021,-124.1637,63.93,77,3,5.01,clear sky
95,Tommot,RU,58.9564,126.2925,85.05,49,87,2.44,overcast clouds
96,Canyon Lake,US,29.8752,-98.2625,93.18,47,23,18.99,few clouds
97,Hualmay,PE,-11.0964,-77.6139,61.36,85,42,7.52,scattered clouds
98,Tiksi,RU,71.6872,128.8694,46.9,84,98,6.17,overcast clouds
99,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.28,88,0,12.57,clear sky
100,East London,ZA,-33.0153,27.9116,63.54,67,100,11.16,overcast clouds
101,Atambua,ID,-9.1061,124.8925,78.46,48,34,2.86,scattered clouds
102,Gimli,CA,50.6336,-96.9907,66.18,76,63,6.08,broken clouds
103,Sola,VU,-13.8833,167.55,80.64,77,8,11.83,clear sky
104,Vanavara,RU,60.34,102.2797,70.38,59,100,7.9,overcast clouds
105,Dunedin,NZ,-45.8742,170.5036,50.81,62,14,8.99,few clouds
106,Kaitangata,NZ,-46.2817,169.8464,44.96,75,3,2.24,clear sky
107,Mangalam,IN,9.7667,78.6667,81.3,75,100,3.42,overcast clouds
108,Bereda,ES,43.2686,-7.5406,56.14,100,12,5.19,few clouds
109,Georgetown,MY,5.4112,100.3354,84.13,90,20,5.01,few clouds
110,Longyearbyen,SJ,78.2186,15.6401,47.48,86,100,3.65,overcast clouds
111,Kavaratti,IN,10.5669,72.642,81.1,79,100,19.89,overcast clouds
112,Tasiilaq,GL,65.6145,-37.6368,33.96,78,27,7.47,scattered clouds
113,Airai,TL,-8.9266,125.4092,67.21,45,23,3.58,few clouds
114,Tokur,RU,53.1333,132.9,74.21,43,74,4.94,broken clouds
115,Castro,BR,-24.7911,-50.0119,57.36,70,58,2.19,broken clouds
116,Yellowknife,CA,62.456,-114.3525,68.52,45,40,12.66,scattered clouds
117,Shitanjing,CN,39.2342,106.3439,76.86,22,0,6.49,clear sky
118,Kirakira,SB,-10.4544,161.9205,84.97,68,8,5.61,clear sky
119,Saint-Philippe,RE,-21.3585,55.7679,66.22,83,39,14.12,light rain
120,Qaanaaq,GL,77.484,-69.3632,36.91,98,100,13.89,light rain
121,Ancud,CL,-41.8697,-73.8203,41.23,96,100,12.15,light rain
122,Le Port,RE,-20.9373,55.2919,68.25,66,19,7.85,few clouds
123,Atar,MR,20.5169,-13.0499,85.15,52,100,6.2,light rain
124,Hobyo,SO,5.3505,48.5268,75.16,78,23,20.49,few clouds
125,Khatanga,RU,71.9667,102.5,40.66,90,100,13.0,light rain
126,Chuy,UY,-33.6971,-53.4616,56.35,96,100,4.63,overcast clouds
127,Bay Roberts,CA,47.5999,-53.2648,69.66,92,4,6.8,clear sky
128,Boende,CD,-0.2167,20.8667,69.06,98,95,2.26,overcast clouds
129,Mar Del Plata,AR,-38.0023,-57.5575,48.87,89,81,5.01,mist
130,San Jeronimo,PE,-11.9472,-75.2829,47.86,77,12,3.42,few clouds
131,Mahanoro,MG,-19.9,48.8,64.22,91,95,5.26,light rain
132,Bethel,US,41.3712,-73.414,79.11,88,0,0.0,clear sky
133,Esperance,AU,-33.8667,121.9,61.2,61,3,20.54,clear sky
134,Leningradskiy,RU,69.3833,178.4167,38.91,79,67,7.38,broken clouds
135,Esmeraldas,BR,-19.7625,-44.3139,65.44,57,71,3.71,broken clouds
136,Severo-Kurilsk,RU,50.6789,156.125,56.19,87,80,8.68,broken clouds
137,Fairbanks,US,64.8378,-147.7164,62.6,61,100,9.22,overcast clouds
138,Iglesias,IT,39.3114,8.535,75.79,45,0,2.86,clear sky
139,Saint-Francois,FR,46.4154,3.9054,69.24,78,0,5.75,clear sky
140,Divnomorskoye,RU,44.5011,38.1353,68.13,78,16,1.57,few clouds
141,Muroto,JP,33.2833,134.15,79.25,72,51,6.02,broken clouds
142,San Cristobal,VE,7.7669,-72.225,75.38,97,76,3.11,broken clouds
143,Zhigansk,RU,66.7697,123.3711,62.55,63,49,10.67,scattered clouds
144,Belle Fourche,US,44.6714,-103.8522,93.43,13,77,7.36,broken clouds
145,Arraial Do Cabo,BR,-22.9661,-42.0278,70.86,89,4,18.63,clear sky
146,Pisco,PE,-13.7,-76.2167,60.85,82,75,3.44,mist
147,Tha Bo,TH,17.85,102.5814,80.49,94,40,2.3,scattered clouds
148,Srednekolymsk,RU,67.45,153.6833,59.47,43,3,12.84,clear sky
149,Hithadhoo,MV,-0.6,73.0833,82.09,73,100,6.93,overcast clouds
150,Bulgan,MN,48.8125,103.5347,58.95,72,52,3.33,broken clouds
151,New Norfolk,AU,-42.7826,147.0587,57.92,75,100,3.87,overcast clouds
152,Oranjemund,NA,-28.55,16.4333,52.84,92,87,6.49,overcast clouds
153,Saskylakh,RU,71.9167,114.0833,58.5,52,98,7.29,overcast clouds
154,Visby,SE,57.6409,18.296,64.62,77,40,9.22,scattered clouds
155,Lebu,CL,-37.6167,-73.65,53.06,95,100,12.95,moderate rain
156,Ambilobe,MG,-13.2,49.05,60.85,83,0,3.91,clear sky
157,Kovdor,RU,67.5662,30.4758,52.65,91,28,2.48,scattered clouds
158,Namibe,AO,-15.1961,12.1522,61.86,83,0,4.03,clear sky
159,Bemidji,US,47.4736,-94.8803,75.29,65,0,0.0,clear sky
160,Nizwa,OM,22.9333,57.5333,84.22,69,98,3.04,overcast clouds
161,Victoria,HK,22.2855,114.1577,91.96,73,0,8.01,clear sky
162,Pochutla,MX,15.7432,-96.4661,79.83,88,75,3.6,broken clouds
163,Te Anau,NZ,-45.4167,167.7167,42.78,84,82,1.36,broken clouds
164,Zapadnaya Dvina,RU,56.259,32.0745,56.75,86,9,3.65,clear sky
165,Luderitz,NA,-26.6481,15.1594,57.29,67,44,14.7,scattered clouds
166,Lavrentiya,RU,65.5833,-171.0,47.05,75,95,15.1,overcast clouds
167,Kieta,PG,-6.2167,155.6333,85.66,63,4,6.33,clear sky
168,Balsas,BR,-7.5325,-46.0356,76.46,39,95,2.59,overcast clouds
169,Smoky Lake,CA,54.1169,-112.4686,66.36,67,88,6.91,overcast clouds
170,Alice Springs,AU,-23.7,133.8833,72.95,32,0,5.75,clear sky
171,Yinchuan,CN,38.4681,106.2731,80.78,20,0,6.26,clear sky
172,Bathsheba,BB,13.2167,-59.5167,81.21,87,40,11.5,scattered clouds
173,Ariquemes,BR,-9.9133,-63.0408,78.53,56,60,0.4,broken clouds
174,Mao,ES,39.8885,4.2658,75.76,100,0,3.44,clear sky
175,Waddan,LY,29.1614,16.139,74.46,49,0,5.73,clear sky
176,Faanui,PF,-16.4833,-151.75,78.6,75,11,11.48,few clouds
177,Turiacu,BR,-1.6633,-45.3717,73.35,95,43,3.0,scattered clouds
178,Red Bluff,US,40.1785,-122.2358,100.58,11,0,11.5,clear sky
179,Lagoa,PT,39.05,-27.9833,71.55,92,100,8.25,overcast clouds
180,Jiexiu,CN,37.0244,111.9125,76.37,50,0,2.68,clear sky
181,Dalby,AU,-27.1833,151.2667,63.16,58,55,18.1,broken clouds
182,Provideniya,RU,64.3833,-173.3,50.63,63,98,4.65,overcast clouds
183,Zhezkazgan,KZ,47.8043,67.7144,66.18,37,0,8.95,clear sky
184,Grande Riviere Du Nord,HT,19.5833,-72.1833,76.82,80,100,2.21,overcast clouds
185,Charters Towers,AU,-20.1,146.2667,69.8,49,0,9.15,clear sky
186,Ipixuna,BR,-1.7625,-48.8043,76.48,83,98,4.61,overcast clouds
187,Sunrise Manor,US,36.2111,-115.0731,110.39,11,0,13.8,clear sky
188,Baltasi,RU,56.3462,50.2062,61.59,86,9,5.53,clear sky
189,Camaqua,BR,-30.8511,-51.8122,63.91,96,100,4.41,heavy intensity rain
190,Chabahar,IR,25.2919,60.643,82.87,83,100,9.64,overcast clouds
191,The Valley,AI,18.217,-63.0578,82.09,74,0,20.92,clear sky
192,Torbay,CA,47.6666,-52.7314,68.88,90,100,11.5,overcast clouds
193,Yar-Sale,RU,66.8333,70.8333,45.43,93,100,13.4,overcast clouds
194,Sovetskiy,RU,61.3614,63.5842,52.03,59,37,5.73,scattered clouds
195,Jojoima,SL,7.8792,-10.7878,70.23,99,98,1.48,overcast clouds
196,Puerto Baquerizo Moreno,EC,-0.9,-89.6,69.1,77,10,11.59,clear sky
197,Mount Gambier,AU,-37.8333,140.7667,55.31,88,100,12.66,overcast clouds
198,Lerwick,GB,60.1545,-1.1494,51.8,81,100,8.34,overcast clouds
199,Huarmey,PE,-10.0681,-78.1522,62.06,88,47,7.45,scattered clouds
200,Saint-Pierre,RE,-21.3393,55.4781,67.91,73,40,5.75,scattered clouds
201,Port Elizabeth,ZA,-33.918,25.5701,58.32,89,0,8.05,clear sky
202,Malim,PH,7.452,123.4312,80.13,80,83,1.19,heavy intensity rain
203,Uthal,PK,25.8072,66.6219,83.01,86,99,4.65,overcast clouds
204,Saint George,US,37.1041,-113.5841,106.63,14,0,12.66,clear sky
205,Dukat,RU,62.55,155.55,62.37,32,15,7.38,few clouds
206,Grindavik,IS,63.8424,-22.4338,51.75,100,75,5.75,mist
207,Bonthe,SL,7.5264,-12.505,76.35,84,99,8.5,light rain
208,Bambous Virieux,MU,-20.3428,57.7575,68.25,88,40,10.36,scattered clouds
209,Mataram,ID,-8.5833,116.1167,83.21,63,11,11.5,few clouds
210,Predivinsk,RU,57.0669,93.4378,65.52,73,8,7.11,clear sky
211,Velasco Ibarra,EC,-1.05,-79.6167,72.48,79,100,2.82,overcast clouds
212,Parabel,RU,58.6978,81.4825,57.61,69,3,13.8,clear sky
213,Mahebourg,MU,-20.4081,57.7,68.29,88,40,10.36,scattered clouds
214,Hendek,TR,40.7994,30.7481,61.07,60,0,4.21,clear sky
215,Vega De Alatorre,MX,20.0333,-96.6333,82.17,79,11,10.6,few clouds
216,Guerrero Negro,MX,27.9769,-114.0611,69.01,78,5,22.39,clear sky
217,Isangel,VU,-19.55,169.2667,80.71,83,100,8.05,moderate rain
218,Rio Das Pedras,BR,-22.8433,-47.6061,64.56,46,8,3.2,clear sky
219,Avera,US,33.194,-82.5271,80.65,68,99,4.68,overcast clouds
220,Cap Malheureux,MU,-19.9842,57.6142,67.46,78,1,5.01,clear sky
221,Grand Gaube,MU,-20.0064,57.6608,68.4,76,1,5.99,clear sky
222,Halifax,CA,44.6453,-63.5724,73.29,91,0,2.3,clear sky
223,Port Lincoln,AU,-34.7333,135.8667,59.92,71,3,5.7,clear sky
224,Tessalit,ML,20.1986,1.0114,93.0,22,68,5.12,broken clouds
225,Wakkanai,JP,45.4094,141.6739,62.58,88,75,17.27,mist
226,Lahij,YE,13.1667,44.5833,83.12,57,15,4.61,few clouds
227,Senanga,ZM,-16.1167,23.2667,58.62,52,79,4.36,broken clouds
228,Nabire,ID,-3.3667,135.4833,82.51,79,25,2.59,scattered clouds
229,Prince Rupert,CA,54.3161,-130.3201,60.49,76,0,12.66,clear sky
230,Haines Junction,CA,60.7522,-137.5108,58.95,44,99,8.05,overcast clouds
231,Iqaluit,CA,63.7506,-68.5145,49.73,81,75,8.05,broken clouds
232,Chokurdakh,RU,70.6333,147.9167,60.62,41,67,10.78,broken clouds
233,Mazamari,PE,-11.3258,-74.5308,72.81,75,55,1.54,broken clouds
234,Brasilia De Minas,BR,-16.2064,-44.4333,63.23,60,0,5.28,clear sky
235,Baykit,RU,61.67,96.37,67.91,71,100,4.23,overcast clouds
236,Santo Antonio Do Ica,BR,-3.1022,-67.9397,72.48,99,100,1.21,overcast clouds
237,Abengourou,CI,6.7297,-3.4964,66.58,97,100,2.35,overcast clouds
238,Talnakh,RU,69.4865,88.3972,76.21,37,14,5.73,few clouds
239,Hofn,IS,64.2539,-15.2082,52.0,90,94,4.76,overcast clouds
240,Astorga,BR,-23.2325,-51.6656,68.23,43,99,6.67,overcast clouds
241,Great Yarmouth,GB,52.6083,1.7305,61.02,80,79,4.12,broken clouds
242,Sibolga,ID,1.7427,98.7792,83.46,67,61,1.39,broken clouds
243,Walvis Bay,NA,-22.9575,14.5053,55.09,87,6,2.3,clear sky
244,Thunder Bay,CA,48.4001,-89.3168,76.98,50,40,5.75,scattered clouds
245,Abha,SA,18.2164,42.5053,66.02,77,20,4.61,few clouds
246,Choya,RU,52.0108,86.5467,61.81,90,57,1.72,broken clouds
247,Le Vauclin,MQ,14.5452,-60.8388,78.85,83,75,3.44,broken clouds
248,Charyshskoye,RU,51.3978,83.5598,61.7,82,90,0.76,overcast clouds
249,Ambon,ID,-3.6954,128.1814,82.54,69,40,5.75,scattered clouds
250,Kaoma,ZM,-14.7833,24.8,52.07,71,10,5.75,clear sky
251,Hasaki,JP,35.7333,140.8333,93.29,72,0,18.14,clear sky
252,Ganzhou,CN,28.8184,115.4327,95.32,51,17,7.72,few clouds
253,Garowe,SO,8.4054,48.4845,73.72,68,4,23.29,clear sky
254,Faya,SA,18.3851,42.4509,66.31,58,97,4.79,overcast clouds
255,Kodinsk,RU,58.6881,99.1844,70.29,66,100,1.19,overcast clouds
256,Belyy Yar,RU,53.6039,91.3903,65.86,72,0,13.42,clear sky
257,Shache,CN,38.4167,77.2406,86.43,13,0,4.36,clear sky
258,Aykhal,RU,66.0,111.5,67.84,58,3,6.49,clear sky
259,Bambanglipuro,ID,-7.95,110.2833,78.84,77,98,10.74,overcast clouds
260,Abnub,EG,27.2696,31.1511,79.02,40,18,12.8,few clouds
261,Klaksvik,FO,62.2266,-6.589,49.12,82,100,6.71,overcast clouds
262,Asfi,MA,32.2994,-9.2372,76.21,72,88,8.3,overcast clouds
263,Nichinan,JP,31.6,131.3667,82.08,60,75,2.48,broken clouds
264,Hirara,JP,24.8,125.2833,89.87,74,20,11.5,few clouds
265,Ozernovskiy,RU,51.5,156.5167,56.37,89,83,6.96,broken clouds
266,Almenara,BR,-16.1836,-40.6944,64.92,89,0,1.5,light rain
267,Kurilsk,RU,45.2333,147.8833,59.9,90,100,2.57,overcast clouds
268,Belmonte,BR,-15.8631,-38.8828,70.86,86,17,7.25,few clouds
269,Washington,US,47.5001,-120.5015,84.9,30,0,8.39,clear sky
270,Auki,SB,-8.7676,160.7034,85.64,62,2,4.79,clear sky
271,Puerto Maldonado,PE,-12.6,-69.1833,74.75,68,1,1.12,clear sky
272,Katsuura,JP,35.1333,140.3,82.36,71,0,19.98,clear sky
273,Acarau,BR,-2.8856,-40.12,79.2,79,36,17.02,scattered clouds
274,Coihaique,CL,-45.5752,-72.0662,19.35,93,100,4.61,overcast clouds
275,Upernavik,GL,72.7868,-56.1549,42.3,95,100,13.13,overcast clouds
276,Vredendal,ZA,-31.6683,18.5012,52.57,88,100,1.9,overcast clouds
277,Victor Harbor,AU,-35.5667,138.6167,59.68,89,28,10.96,scattered clouds
278,Marsa Matruh,EG,31.3525,27.2453,73.6,73,0,5.75,clear sky
279,Horqueta,PY,-23.3428,-57.0597,71.38,43,68,3.98,broken clouds
280,Naryan-Mar,RU,67.6713,53.087,48.56,94,100,13.18,light rain
281,Avarua,CK,-21.2078,-159.775,80.65,74,40,13.8,scattered clouds
282,Areia Branca,BR,-4.9561,-37.1369,75.42,81,61,14.0,broken clouds
283,Cherskiy,RU,68.75,161.3,53.38,47,23,2.13,few clouds
284,Asau,RO,46.4333,26.4,65.95,90,50,3.87,scattered clouds
285,Illapel,CL,-31.6308,-71.1653,56.37,82,0,1.9,clear sky
286,Sattahip,TH,12.6664,100.9007,86.99,83,20,9.22,few clouds
287,Dehloran,IR,32.6941,47.2679,90.81,14,0,9.57,clear sky
288,Kavieng,PG,-2.5744,150.7967,83.77,72,25,9.62,light rain
289,Vao,NC,-22.6667,167.4833,73.87,89,100,26.15,light rain
290,Dikson,RU,73.5069,80.5464,51.39,81,92,14.27,overcast clouds
291,Najran,SA,17.4924,44.1277,84.85,42,100,6.69,overcast clouds
