City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Van Buren,US,2022-07-22 17:14:28,35.4368,-94.3483,96.19,55,0,4.61
68,Tuktoyaktuk,CA,2022-07-22 17:14:28,69.4541,-133.0374,56.37,71,86,6.8
69,Hobart,AU,2022-07-22 17:14:29,-42.8794,147.3294,49.86,76,75,8.05
70,Jamestown,US,2022-07-22 17:10:52,42.097,-79.2353,83.05,69,75,6.91
71,Vila Franca Do Campo,PT,2022-07-22 17:14:29,37.7167,-25.4333,72.01,66,96,2.64
72,Cape Town,ZA,2022-07-22 17:12:18,-33.9258,18.4232,59.34,81,100,5.01
73,Barrow,US,2022-07-22 17:13:02,71.2906,-156.7887,37.42,93,100,11.5
74,North Myrtle Beach,US,2022-07-22 17:12:21,33.816,-78.68,94.08,73,40,17.27
75,Imbituba,BR,2022-07-22 17:14:30,-28.24,-48.6703,74.86,86,65,4.0
76,Tiksi,RU,2022-07-22 17:10:57,71.6872,128.8694,43.27,82,52,5.64
77,Ouallam,NE,2022-07-22 17:14:31,14.3188,2.0866,95.09,34,98,2.01
78,Port Blair,IN,2022-07-22 17:14:31,11.6667,92.75,80.76,83,100,7.74
79,Sisimiut,GL,2022-07-22 17:14:32,66.9395,-53.6735,45.45,89,100,3.91
80,Hualmay,PE,2022-07-22 17:14:32,-11.0964,-77.6139,65.98,69,55,6.91
81,Mahebourg,MU,2022-07-22 17:14:33,-20.4081,57.7,70.09,83,40,12.66
82,Yongan,CN,2022-07-22 17:14:33,39.6957,113.6871,63.41,72,80,2.42
83,Nuuk,GL,2022-07-22 17:14:33,64.1835,-51.7216,50.88,76,20,12.66
84,Torbay,CA,2022-07-22 17:14:34,47.6666,-52.7314,78.89,62,97,9.48
85,Nikolskoye,RU,2022-07-22 17:14:35,59.7035,30.7861,81.81,54,35,3.2
86,Saskylakh,RU,2022-07-22 17:12:14,71.9167,114.0833,47.5,73,100,6.64
87,Nizhniy Kuranakh,RU,2022-07-22 17:14:35,58.8353,125.4869,65.3,86,59,2.66
88,Saqqez,IR,2022-07-22 17:14:36,36.2499,46.2735,74.88,18,0,7.83
89,Faratsiho,MG,2022-07-22 17:14:36,-19.4,46.95,47.21,90,27,5.28
90,Qaanaaq,GL,2022-07-22 17:14:37,77.484,-69.3632,42.19,84,100,11.54
91,Arlit,NE,2022-07-22 17:15:37,18.7369,7.3853,105.67,11,94,6.55
92,Pangnirtung,CA,2022-07-22 17:11:10,66.1451,-65.7125,54.01,58,39,3.2
93,Chokurdakh,RU,2022-07-22 17:15:38,70.6333,147.9167,38.66,78,77,12.55
94,Ribeira Grande,PT,2022-07-22 17:13:44,38.5167,-28.7,77.4,83,40,12.66
95,Maiduguri,NG,2022-07-22 17:15:39,11.8464,13.1603,87.6,53,100,5.82
96,Mount Gambier,AU,2022-07-22 17:15:39,-37.8333,140.7667,50.85,97,100,8.9
97,Povolzhskiy,RU,2022-07-22 17:15:40,53.5854,49.7629,73.02,84,86,5.53
98,Bengkulu,ID,2022-07-22 17:15:40,-3.8004,102.2655,75.81,89,87,4.68
99,Ugoofaaru,MV,2022-07-22 17:15:40,5.6667,73.0,81.3,78,100,15.1
100,Omboue,GA,2022-07-22 17:15:41,-1.5746,9.2618,73.47,78,48,12.15
101,Trairi,BR,2022-07-22 17:15:41,-3.2778,-39.2689,85.57,57,95,13.22
102,Tari,NG,2022-07-22 17:15:42,12.4086,4.4914,89.62,50,89,4.29
103,Touros,BR,2022-07-22 17:11:26,-5.1989,-35.4608,82.2,68,92,15.03
104,Wanning,CN,2022-07-22 17:11:06,18.8003,110.3967,80.04,86,25,5.1
105,Amzya,RU,2022-07-22 17:15:42,56.2354,54.3868,63.79,82,64,4.47
106,Narsaq,GL,2022-07-22 17:15:43,60.9167,-46.05,62.82,59,59,6.51
107,La Baule-Escoublac,FR,2022-07-22 17:15:43,47.2922,-2.364,75.7,63,75,11.5
108,Kamaishi,JP,2022-07-22 17:15:44,39.2667,141.8833,72.48,97,100,3.0
109,Beloha,MG,2022-07-22 17:15:44,-25.1667,45.05,65.62,84,3,10.11
110,Chapleau,CA,2022-07-22 17:15:36,47.8405,-83.4034,77.0,41,19,13.06
111,Okhotsk,RU,2022-07-22 17:15:45,59.3833,143.3,54.63,93,94,4.38
112,Karpathos,GR,2022-07-22 17:15:45,35.507,27.2132,76.96,69,0,24.16
113,Mayumba,GA,2022-07-22 17:15:45,-3.432,10.6554,71.02,82,90,9.04
114,Belmonte,BR,2022-07-22 17:15:46,-15.8631,-38.8828,78.06,63,46,8.37
115,Kununurra,AU,2022-07-22 17:15:46,-15.7667,128.7333,55.38,82,56,3.44
116,Gallup,US,2022-07-22 17:15:47,35.5281,-108.7426,90.36,21,0,3.44
117,Umm Kaddadah,SD,2022-07-22 17:15:47,13.6017,26.6876,92.88,28,2,4.29
118,Provideniya,RU,2022-07-22 17:15:48,64.3833,-173.3,42.57,80,63,9.28
119,Pervomayskoye,RU,2022-07-22 17:15:48,43.919,46.7102,69.49,63,60,5.97
120,Sao Joao Da Barra,BR,2022-07-22 17:15:49,-21.6403,-41.0511,80.69,72,2,12.66
121,Srednekolymsk,RU,2022-07-22 17:15:49,67.45,153.6833,42.64,76,55,11.07
122,Vardo,NO,2022-07-22 17:15:49,70.3705,31.1107,53.58,87,75,14.97
123,Vikhorevka,RU,2022-07-22 17:15:50,56.1201,101.1636,63.99,83,100,4.12
124,Muros,ES,2022-07-22 17:15:50,42.7762,-9.0603,81.16,60,10,15.12
125,Huarmey,PE,2022-07-22 17:15:51,-10.0681,-78.1522,65.86,75,59,6.35
126,Ostrovnoy,RU,2022-07-22 17:15:51,68.0531,39.5131,52.45,98,100,15.61
127,Oistins,BB,2022-07-22 17:15:51,13.0667,-59.5333,86.09,70,40,17.27
128,Ozernovskiy,RU,2022-07-22 17:15:52,51.5,156.5167,52.59,98,78,3.06
129,Marsh Harbour,BS,2022-07-22 17:15:52,26.5412,-77.0636,84.38,69,2,13.53
130,Ambon,ID,2022-07-22 17:15:53,-3.6954,128.1814,75.34,18,20,4.61
131,Orativ,UA,2022-07-22 17:15:53,49.1889,29.527,76.19,36,2,11.39
132,Tuatapere,NZ,2022-07-22 17:15:54,-46.1333,167.6833,37.49,93,47,3.87
133,Portland,US,2022-07-22 17:13:50,45.5234,-122.6762,66.24,76,100,5.99
134,Iquique,CL,2022-07-22 17:15:54,-20.2208,-70.1431,60.84,66,4,6.26
135,Manyoni,TZ,2022-07-22 17:15:55,-5.7467,34.8382,68.07,42,0,8.41
136,Mollendo,PE,2022-07-22 17:15:55,-17.0231,-72.0147,64.54,74,13,11.16
137,Kudahuvadhoo,MV,2022-07-22 17:13:39,2.6708,72.8944,82.49,74,100,15.79
138,Kahului,US,2022-07-22 17:15:56,20.8947,-156.47,78.84,72,20,14.97
139,Quesnel,CA,2022-07-22 17:16:56,52.9999,-122.5029,72.25,43,12,3.76
140,Beyneu,KZ,2022-07-22 17:16:57,45.3167,55.2,89.44,30,64,18.43
141,Pokhara,NP,2022-07-22 17:15:02,28.2333,83.9833,73.72,86,100,2.89
142,Santa Isabel,BR,2022-07-22 17:16:58,-23.3156,-46.2214,79.9,22,26,3.27
143,Cockburn Town,TC,2022-07-22 17:16:59,21.4612,-71.1419,78.76,83,75,17.27
144,Lata,PT,2022-07-22 17:16:59,40.1629,-8.3327,86.49,44,10,9.33
145,Baghdad,IQ,2022-07-22 17:14:55,33.3406,44.4009,98.51,16,0,9.22
146,Yellowknife,CA,2022-07-22 17:14:55,62.456,-114.3525,62.56,59,96,4.0
147,Maceio,BR,2022-07-22 17:17:00,-9.6658,-35.7353,80.04,73,75,12.66
148,Dingle,PH,2022-07-22 17:17:00,10.9995,122.6711,77.0,90,75,4.5
